No,LLM,Size,Family,Closed_Open,A1_total,A2_total,B1_total,B2_total,C1_total,C2_total
0,Qwen 2 - 0.5B,0,Qwen,Open,26.92,22.12,23.3,22.81,22.12,15.84
1,Llama 3.2 - 1B,1,Llama,Open,25.96,19.23,28.16,21.05,19.23,12.87
2,Gemma 3 - 1B,1,Gemma,Open,45.19,36.54,38.83,40.35,25,33.66
3,Qwen 2 - 1.5B,1,Qwen,Open,32.69,27.88,25.24,31.58,21.15,23.76
4,StableLM 2,1,StableLM,Open,22.12,14.42,21.36,16.67,15.38,16.83
5,EuroLLM - 1.7B,1,EuroLLM,Open,17.31,21.15,12.62,23.68,25.96,17.82
6,Gemma 2 - 2B,2,Gemma,Open,39.42,32.69,31.07,32.46,27.88,28.71
7,Llama 3.2 - 3B,3,Llama,Open,37.5,35.58,26.21,35.09,30.77,24.75
8,Phi 3,3,Phi,Open,45.19,36.54,27.18,26.32,27.88,17.82
9,Phi 3.5,3,Phi,Open,39.42,27.88,11.65,10.53,7.69,10.89
10,Gemma 3 - 4B,4,Gemma,Open,54.81,43.27,39.81,46.49,36.54,31.68
11,Qwen 2 - 7B,7,Qwen,Open,48.08,36.54,32.04,35.96,39.42,31.68
12,Llama 2 - 7B,7,Llama,Open,36.54,38.46,24.27,39.47,25,26.73
13,WizardLM 2,7,WizardLM,Open,44.23,38.46,21.36,31.58,28.85,29.7
14,Mistral,7,Mistral,Open,35.58,35.58,33.98,30.7,34.62,26.73
15,Aya-23,8,Aya,Open,40.38,30.77,30.1,31.58,31.73,31.68
16,Llama 3.1 - 8B,8,Llama,Open,56.73,33.65,33.01,33.33,30.77,33.66
17,Llama 3 - 8B,8,Llama,Open,45.19,35.58,34.95,35.96,28.85,31.68
18,DeepSeek-R1 - 8B,8,DeepSeek,Open,53.85,39.42,38.83,39.47,34.62,28.71
19,GLM 4,9,GLM,Open,54.81,41.35,37.86,45.61,44.23,35.64
20,EuroLLM - 9B,9,EuroLLM,Open,44.23,45.19,33.01,34.21,31.73,25.74
21,Gemma 2 - 9B,9,Gemma,Open,58.65,47.12,38.83,49.12,40.38,34.65
22,Mistral-Nemo,12,Mistral,Open,52.88,36.54,28.16,33.33,29.81,20.79
23,StableLM 2 - 12B,12,StableLM,Open,27.88,35.58,26.21,28.95,27.88,23.76
24,Gemma 3 - 12B,12,Gemma,Open,62.5,58.65,53.4,50.88,47.12,40.59
25,Llama 2 - 13B,13,Llama,Open,27.88,14.42,23.3,26.32,23.08,26.73
26,Phi 3 Medium,14,Phi,Open,45.19,38.46,38.83,39.47,27.88,21.78
27,Phi 4,14,Phi,Open,53.85,51.92,42.72,44.74,34.62,33.66
28,Mistral Small - 22B,22,Mistral,Open,51.92,46.15,31.07,39.47,38.46,25.74
29,Gemma 2 - 23B,27,Gemma,Open,66.35,63.46,54.37,45.61,50,41.58
30,Gemma 3 - 23B,27,Gemma,Open,71.15,72.12,62.14,60.53,60.58,44.55
31,QWQ,32,QWQ,Open,60.58,49.04,51.46,47.37,38.46,44.55
32,Aya-23 - 35B,35,Aya,Open,43.27,37.5,39.81,35.96,33.65,34.65
33,Command-R,35,Command-R,Open,50.96,38.46,33.01,42.11,35.58,37.62
34,Alfred,40,Falcon,Open,42.31,39.42,29.13,29.82,36.54,29.7
35,Mixtral - 8x7B,56,Mistral,Open,50,41.35,33.98,39.47,31.73,29.7
36,Llama 2 - 70B,70,Llama,Open,38.46,33.65,28.16,39.47,25.96,39.6
37,Llama 3 - 70B,70,Llama,Open,52.88,49.04,38.83,35.09,38.46,43.56
38,Llama 3.1 - 70B,70,Llama,Open,55.77,56.73,49.51,52.63,47.12,41.58
39,DeepSeek-R1 - 70B,70,DeepSeek,Open,64.42,50.96,56.31,54.39,49.04,41.58
40,Qwen 2 - 72B,72,Qwen,Open,60.58,46.15,40.78,51.75,41.35,40.59
41,Command-R+,104,Command-R,Open,52.88,38.46,39.81,44.74,31.73,32.67
42,Mistral-Large,123,Mistral,Open,66.35,50,42.72,52.63,43.27,44.55
43,Mixtral - 8x22B,176,Mistral,Open,62.5,49.04,41.75,42.11,39.42,39.6
44,WizardLM 2 - 8x22B,176,WizardLM,Open,58.65,40.38,40.78,42.98,35.58,34.65
45,Llama 3.1 - 405B,405,Llama,Open,78.85,39.42,48.54,59.65,55.77,46.53
46,DeepSeek-R1 - 671B,671,DeepSeek,Open,92.31,83.65,73.79,76.32,73.08,81.19
47,ChatGPT 3.5,175,ChatGPT,Closed,92.31,85.58,80.58,83.33,75.96,66.34
48,Claude 3.5 Sonnet,500,Claude,Closed,92.31,92.31,80.58,86.84,77.88,69.31
49,ChatGPT 4o,500,ChatGPT,Closed,92.31,85.58,78.64,84.21,74.04,60.4
50,ChatGPT 4o mini,500,ChatGPT,Closed,90.38,90.38,59.22,59.65,54.81,43.56
51,Gemini 2.0 Flash,500,Gemini,Closed,89.42,84.62,74.76,80.7,75.96,54.46
52,LeChat,500,Mistral,Open,42.31,53.85,38.83,51.75,41.35,32.67
