<CSV_observer>,<CSV_whenObserved>,<CSV_tool_id>,<CSV_eval_id>,<CSV_dataset_2_id>,<CSV_name>,<CSV_description>
system,2025-10-30T14:35:00Z,1,1,1,Qwen 2 - 0.5B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,2,2,1,Llama 3.2 - 1B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,3,3,1,Gemma 3 - 1B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,4,4,1,Qwen 2 - 1.5B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,5,5,1,StableLM 2,Lux CEFR eval import
system,2025-10-30T14:35:00Z,6,6,1,EuroLLM - 1.7B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,7,7,1,Gemma 2 - 2B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,8,8,1,Llama 3.2 - 3B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,9,9,1,Phi 3,Lux CEFR eval import
system,2025-10-30T14:35:00Z,10,10,1,Phi 3.5,Lux CEFR eval import
system,2025-10-30T14:35:00Z,11,11,1,Gemma 3 - 4B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,12,12,1,Qwen 2 - 7B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,13,13,1,Llama 2 - 7B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,14,14,1,WizardLM 2,Lux CEFR eval import
system,2025-10-30T14:35:00Z,15,15,1,Mistral,Lux CEFR eval import
system,2025-10-30T14:35:00Z,16,16,1,Aya-23,Lux CEFR eval import
system,2025-10-30T14:35:00Z,17,17,1,Llama 3.1 - 8B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,18,18,1,Llama 3 - 8B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,19,19,1,DeepSeek-R1 - 8B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,20,20,1,GLM 4,Lux CEFR eval import
system,2025-10-30T14:35:00Z,21,21,1,EuroLLM - 9B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,22,22,1,Gemma 2 - 9B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,23,23,1,Mistral-Nemo,Lux CEFR eval import
system,2025-10-30T14:35:00Z,24,24,1,StableLM 2 - 12B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,25,25,1,Gemma 3 - 12B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,26,26,1,Llama 2 - 13B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,27,27,1,Phi 3 Medium,Lux CEFR eval import
system,2025-10-30T14:35:00Z,28,28,1,Phi 4,Lux CEFR eval import
system,2025-10-30T14:35:00Z,29,29,1,Mistral Small - 22B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,30,30,1,Gemma 2 - 23B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,31,31,1,Gemma 3 - 23B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,32,32,1,QWQ,Lux CEFR eval import
system,2025-10-30T14:35:00Z,33,33,1,Aya-23 - 35B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,34,34,1,Command-R,Lux CEFR eval import
system,2025-10-30T14:35:00Z,35,35,1,Alfred,Lux CEFR eval import
system,2025-10-30T14:35:00Z,36,36,1,Mixtral - 8x7B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,37,37,1,Llama 2 - 70B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,38,38,1,Llama 3 - 70B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,39,39,1,Llama 3.1 - 70B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,40,40,1,DeepSeek-R1 - 70B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,41,41,1,Qwen 2 - 72B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,42,42,1,Command-R+,Lux CEFR eval import
system,2025-10-30T14:35:00Z,43,43,1,Mistral-Large,Lux CEFR eval import
system,2025-10-30T14:35:00Z,44,44,1,Mixtral - 8x22B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,45,45,1,WizardLM 2 - 8x22B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,46,46,1,Llama 3.1 - 405B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,47,47,1,DeepSeek-R1 - 671B,Lux CEFR eval import
system,2025-10-30T14:35:00Z,48,48,1,ChatGPT 3.5,Lux CEFR eval import
system,2025-10-30T14:35:00Z,49,49,1,Claude 3.5 Sonnet,Lux CEFR eval import
system,2025-10-30T14:35:00Z,50,50,1,ChatGPT 4o,Lux CEFR eval import
system,2025-10-30T14:35:00Z,51,51,1,ChatGPT 4o mini,Lux CEFR eval import
system,2025-10-30T14:35:00Z,52,52,1,Gemini 2.0 Flash,Lux CEFR eval import
system,2025-10-30T14:35:00Z,53,53,1,LeChat,Lux CEFR eval import
